Track URI,song_name,cover_artist_id,cover_artist_name,cover_release_year,cover_song_popularity,control_artists_name,cover_artists_popularity,cover_artists_followers,original_song_artist ,original_release_year,original_song_popularity,control_song_name
spotify:track:3ZPKocroJIcnHGcnJVlLKD,Africa,3jOstUTkEu2JkjvRdBA5Gu,Weezer,2019,62,Weezer,76,2541092,TOTO,1982,84,Africa
spotify:track:4tnk3C7gsRzg4eCiNPlVYo,Thriller,27qG899eLldfpYtPr3S3NJ,Scandroid,2017,35,Scandroid,53,89940,Michael Jackson,1982,73,Thriller
spotify:track:4OMsAnt8JSBctSJQIMNAy1,Beat It,4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,2009,59,Fall Out Boy,82,9233391,Michael Jackson,1982,83,Beat It
spotify:track:2OKWlT1R99aAGWBB7v5Vso,Eye of the Tiger,7gqKcfoY25do9k18uCCgIT,Bonfire,2018,43,Bonfire,46,37706,Survivor,1985,78,Eye of the Tiger
spotify:track:0qM5vBPvhwPFFuyEA0DQEj,Eye of the Tiger,4alZ73UZp90icEjdKjSIxw,At Vance,2010,34,At Vance,43,36281,Survivor,1985,78,Eye of the Tiger
spotify:track:7BAu8TEl91ZHBDAj6A4cZq,Eye of the Tiger,0Mhb0DUXc1JLm22wUkNHC1,Devil You Know,2015,40,Devil You Know,33,10523,Survivor,1985,78,Eye of the Tiger
spotify:track:1qZOyqI6DLdU09YrP7G0y8,Eye Of The Tiger,7ceUfdWq2t5nbatS6ollHh,Paul Anka,2005,31,Paul Anka,66,515090,Survivor,1985,78,Eye Of The Tiger
spotify:track:1U2L6NW89IIy6Gw63C4eP2,Only You,41A6Xdil8qhaD2DcS4X1wA,The Flying Pickets,1984,60,The Flying Pickets,47,15005,Yazoo,1982,67,Only You
spotify:track:7n2SmLoaiBoIdT3L6wowW5,Only You,7adu8fQmtoTq8O8BXQIq9L,Smith & Burrows,2011,38,Smith & Burrows,50,28831,Yazoo,1982,67,Only You
spotify:track:4RUnZtSJEYUISMQFuKUAur,Should I Stay or Should I Go,3tFvFDca4inwWMY5vupFbX,The Cooltrane Quartet,2007,48,The Cooltrane Quartet,59,34857,The Clash,1982,81,Should I Stay or Should I Go
spotify:track:0k93KjYDdohqDvo1Jp92LQ,White Wedding,4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age,2007,33,Queens of the Stone Age,72,2874908,Billy Idol,1982,73,White Wedding
spotify:track:1Ygvq3qqegXyPnQaJaenY6,White Wedding,5qrZ4EXMTVH4e6odErsQjb,Murderdolls,2002,46,Murderdolls,45,106734,Billy Idol,1982,73,White Wedding
spotify:track:2KqJiEKlMkVFAc0V8L7BUz,White Wedding,5GLeyUhj8B8f5pJxqZllKl,Doro,2013,19,Doro,48,141932,Billy Idol,1982,73,White Wedding
spotify:track:75cRKswXTnnZ62E8jn9dlI,White Wedding ,5jQPKWBobu6cJwGSbbqgCk,Sentenced,1997,19,Sentenced,48,79496,Billy Idol,1982,73,White Wedding 
spotify:track:0YdWb05mQJwJnd3U7zXWFv,Hungry Like the Wolf ,12Chz98pHFMPJEknJQMWvI,Muse,2019,54,Muse,79,6785709,Duran Duran,1982,74,Hungry Like the Wolf 
spotify:track:3WMDUSEuVumGM2jYBPkTNd,Hungry Like the Wolf,707cnVfI3ISM4j5uzfTc7J,Hidden Citizens,2016,30,Hidden Citizens,60,105203,Duran Duran,1982,74,Hungry Like the Wolf
spotify:track:40kL0rQpgAULbZPHlO4qnS,Sexual Healing,45lorWzrKLxfKlWpV7r9CN,Ben Harper,1999,54,Ben Harper,66,880089,Marvin Gaye,1982,73,Sexual Healing
spotify:track:4SuUPFIFhKeeCv7Rb86d0I,The Number of the Beast,74IIqlVQQmvf04EHOI6yKh,Richard Cheese,2020,32,Richard Cheese,52,211231,Iron Maiden,1982,69,The Number of the Beast
spotify:track:7ytAmvlpcPKhhUcgKd8JRn,The Number of the Beast,3KEixcRfBS5K3E91Vn1Kdy,Iced Earth,2001,19,Iced Earth,51,301846,Iron Maiden,1982,69,The Number of the Beast
spotify:track:30K0C7M8WKmBJmjzR5XfJt,Run To The Hills,2ZUIJQdnxHYN1pssKbtwh5,Avalanch,1999,9,Avalanch,48,160254,Iron Maiden,1982,72,Run To The Hills
spotify:track:0daJhirOk8ViFHEeywYIV2,Run to the Hills,5uDC7LZBipUdnFlWoou8NE,Chris Poland,2012,0,Chris Poland,14,3740,Iron Maiden,1982,72,Run to the Hills
spotify:track:36kFSynXI3L6ePTx4IJq33,Countess Bathory,3MKwCexzAd8YTdsSjRkKbv,Unleashed,1992,17,Unleashed,38,70035,Venom,1982,43,Countess Bathory
spotify:track:2FgwTL0oEtNiySHhKN3IM0,Countess Bathory,2lbJzDX11fy6cLeFtlkUA8,MACABRE,2011,10,MACABRE,32,20931,Venom,1982,43,Countess Bathory
spotify:track:31MZ8Xnfch3LYMJ18YmTSB,Countess Bathory,73n8NYaqRf2oJBuK7lWq0O,Necrodeath,2007,2,Necrodeath,13,6252,Venom,1982,43,Countess Bathory
spotify:track:2302lUwfZ4S4dVyPOCDFnQ,Sweet Dreams,2VYQTNDsvvKN9wmU5W7xpj,Marilyn Manson,1995,71,Marilyn Manson,74,3555896,Eurythmics,1983,84,Sweet Dreams
spotify:track:7aJh7TGMukLyAml4uAwTti,Sweet Dreams,619CzMJPPWrCeZwx5qw6ko,Besomorph,2019,59,Besomorph,68,78238,Eurythmics,1983,84,Sweet Dreams
spotify:track:5xFuYnKruaC6AVbg9GDHuv,Here Comes The Rain Again,0Y2Zvpo631ACDnYOllivYM,Hypnogaja,2005,58,Hypnogaja,47,30843,Eurythmics,1983,67,Here Comes The Rain Again
spotify:track:2GlZhbGI1PA2Llu67Fmpxb,Holy Diver,7dWw3TXxNe2aEhng9vVRNl,Axel Rudi Pell,2011,34,Axel Rudi Pell,51,102110,Dio,1983,69,Holy Diver
spotify:track:3a9urnht8HvfFzPwd0ipx6,Holy Diver,37394IP6uhnjIpsawpMu4l,Killswitch Engage,2006,66,Killswitch Engage,67,1524601,Dio,1983,69,Holy Diver
spotify:track:0t7LcUic4qolMCysPrKeAd,"Die, Die My Darling",2ye2Wgw4gimLv2eAKyk1NB,Metallica,1998,57,Metallica,84,19990091,Misfits,1983,50,"Die, Die My Darling"
spotify:track:4bunYizPGQUFHGqxF8Y04P,"Die, Die, My Darling",25edj2SWTUtLeCdyx26aH4,Kryptonix,2010,8,Kryptonix,9,867,Misfits,1983,50,"Die, Die, My Darling"
spotify:track:3Ya92CUJA5uYda3viiHhwB,This Charming Man,0YrtvWJMgSdVrk3SfNjTbx,Death Cab for Cutie,2002,41,Death Cab for Cutie,67,1336354,The Smiths,1983,76,This Charming Man
spotify:track:1j6Fcfbfi6M67UwCijjaCa,This Charming Man,36gdsrHzKZ0Wyb3uH7ZbEv,Braid,2000,21,Braid,32,28612,The Smiths,1983,76,This Charming Man
spotify:track:5267gVdYWrLoz6ClOhlqmE,Blue Monday,4uYwLU7k03RCQSRXGtQGg0,Orgy,1998,64,Orgy,53,249473,New Order,1983,74,Blue Monday
spotify:track:0644nJSHj9uRw8kcgIaz8p,Seek and Destroy,4Lm0pUvmisUHMdoky5ch2I,Apocalyptica,2016,29,Apocalyptica,63,833870,Metallica,1983,68,Seek and Destroy
spotify:track:4kGwjnMylowlPNkPeK4hI3,Seek And Destroy,04bDWf1u7HxKdskC3N2nIk,Acid Drinkers,1992,13,Acid Drinkers,36,30643,Metallica,1983,68,Seek And Destroy
spotify:track:5EBYxr3uGOUu0WMgTNEsWw,Rebel Yell,1xUhNgw4eJDZfvumIpcz1B,Children Of Bodom,2009,38,Children Of Bodom,61,564081,Billy Idol,1983,75,Rebel Yell
spotify:track:3i7iDK1FgYjITotGGfDEzv,Rebel Yell,1E4r4z7ivGUcSAnCbINJ9v,Drowning Pool,2007,38,Drowning Pool,65,1544658,Billy Idol,1983,75,Rebel Yell
spotify:track:4IWeyMLkImeqevI5tmdCuj,Rebel Yell,65ATPZKTKuNo2O0BeMWuRT,David Ellefson,2020,0,David Ellefson,30,2578,Billy Idol,1983,75,Rebel Yell
spotify:track:1ZaxUokPjgc4Po18K7t7LW,King Of Pain,2Pfv2w8a20xzC7Dr7QXRqM,Mudvayne,2007,48,Mudvayne,64,1396262,The Police,1983,62,King Of Pain
spotify:track:3pRaLNL3b8x5uBOcsgvdqM,Hallelujah,3nnQpaTvKb5jCQabZefACI,Jeff Buckley,1994,74,Jeff Buckley,65,816822,Leonard Cohen,1984,68,Hallelujah
spotify:track:0NByfOtKge32j77jYtU1az,Hallelujah,7dWw3TXxNe2aEhng9vVRNl,Axel Rudi Pell,2011,51,Axel Rudi Pell,51,102110,Leonard Cohen,1984,68,Hallelujah
